,OBJECTID,STN_NAME,STN_NO,X,Y,Latitude,Longitude,COLOR,IS_TERMINUS,WEEKDAY_SAT_INC_START_TIME,SUN_INC_START_TIME,INC_END_TIME,WEEKDAY_SAT_DEC_START_TIME,SUN_DEC_START_TIME,DEC_END_TIME,LINE,NUMBER,CONNECTION_ID,NEXT_STATION_NUMBER,PREV_STATION_NUMBER,MAX_CAPACITY,MIN_CAPACITY
139,82,RUMBIA LRT STATION,SE02,18,24,1.391468497,103.9059522,OTHERS,FALSE,0,0,0,0,0,0,SE,02,82,03,01,590.5,9.142857142857142
140,43,SAM KEE LRT STATION,PW01,18,30,1.409612685,103.9048099,OTHERS,FALSE,0,0,0,0,0,0,PW,01,43,02,00,110.46428571428571,0.2857142857142857
141,51,SAMUDERA LRT STATION,PW04,17,33,1.415901719,103.9021353,OTHERS,FALSE,0,0,0,0,0,0,PW,04,51,05,03,399.57142857142856,7.071428571428571
142,91,SEGAR LRT STATION,BP11,-18,23,1.387772131,103.7696171,OTHERS,FALSE,0,0,0,0,0,0,BP,11,91,12,10,516.7142857142857,14.535714285714286
143,30,SEMBAWANG MRT STATION,NS11,-5,44,1.449050821,103.8200504,RED,FALSE,0,0,0,0,0,0,NS,11,30,12,10,4647.714285714285,89.42857142857143
144,116,SENGKANG MRT STATION,NE16,16,24,1.391694626,103.8954664,PURPLE,FALSE,0,0,0,0,0,0,NE,16,116,17,15,4376.642857142857,37.035714285714285
145,61,SENJA LRT STATION,BP13,-20,21,1.382692296,103.7623879,OTHERS,FALSE,0,0,0,0,0,0,BP,13,61,6,12,166.21428571428572,3.5357142857142856
146,145,SERANGOON MRT STATION,CC13,9,11,1.350595256,103.8723572,YELLOW,FALSE,0,0,0,0,0,0,CC,13,145,14,12,5801.5,40.035714285714285
147,148,SERANGOON MRT STATION,NE12,10,10,1.349707875,103.8735637,PURPLE,FALSE,0,0,0,0,0,0,NE,12,145,13,11,5801.5,40.035714285714285
148,10,SIMEI MRT STATION,EW03,31,8,1.343202895,103.9533387,GREEN,FALSE,0,0,0,0,0,0,EW,03,10,04,02,1737.4285714285713,17.285714285714285
149,173,SIXTH AVENUE MRT STATION,DT07,-11,4,1.330786387,103.7972561,BLUE,FALSE,0,0,0,0,0,0,DT,07,173,08,06,541.7857142857143,0.8571428571428571
150,112,SOMERSET MRT STATION,NS23,0,-6,1.300260055,103.8390737,RED,FALSE,0,0,0,0,0,0,NS,23,112,24,22,2502.8571428571427,4.142857142857143
151,53,SOO TECK LRT STATION,PW07,16,29,1.405088585,103.8971904,OTHERS,FALSE,0,0,0,0,0,0,PW,07,53,0,06,380.0357142857143,4.5
152,66,SOUTH VIEW LRT STATION,BP02,-25,21,1.380298287,103.7453173,OTHERS,FALSE,0,0,0,0,0,0,BP,02,66,03,01,429.85714285714283,12.464285714285714
153,110,STADIUM MRT STATION,CC06,10,-5,1.30284063,103.8753395,YELLOW,FALSE,0,0,0,0,0,0,CC,06,110,07,05,842.8928571428571,1.8928571428571428
154,170,STEVENS MRT STATION,DT10,-3,0,1.320065557,103.8260263,BLUE,FALSE,0,0,0,0,0,0,DT,10,170,11,09,986.3928571428571,1.5714285714285714
155,72,SUMANG LRT STATION,PW06,16,30,1.408452426,103.8985387,OTHERS,FALSE,0,0,0,0,0,0,PW,06,72,07,05,149.14285714285714,1.6428571428571428
156,166,TAI SENG MRT STATION,CC11,14,6,1.335433322,103.88818,YELLOW,FALSE,0,0,0,0,0,0,CC,11,166,12,10,2282.535714285714,7.321428571428571
157,96,TAMPINES EAST MRT STATION,DT33,31,13,1.356191483,103.9546005,BLUE,FALSE,0,0,0,0,0,0,DT,33,96,34,32,1966.5714285714287,25.678571428571427
158,142,TAMPINES MRT STATION,DT32,28,12,1.355077429,103.9430298,BLUE,FALSE,0,0,0,0,0,0,DT,32,11,33,31,5738.857142857143,53.25
159,11,TAMPINES MRT STATION,EW02,29,12,1.353301356,103.9451175,GREEN,FALSE,0,0,0,0,0,0,EW,02,11,03,01,5738.857142857143,53.25
160,97,TAMPINES WEST MRT STATION,DT31,27,9,1.345515305,103.938408,BLUE,FALSE,0,0,0,0,0,0,DT,31,97,32,30,958.6428571428571,8.785714285714286
161,134,TAN KAH KEE MRT STATION,DT08,-8,2,1.325883209,103.8073292,BLUE,FALSE,0,0,0,0,0,0,DT,08,134,09,07,1210.642857142857,1.1071428571428572
